Abathur; Logical decision.
Alarak; Finally.
Alexstrasza; I shall do what I must.
Ana; Ana, checking in.
Anduin; For the Alliance above all!
Anub'arak; For the Frozen Throne!
Artanis; Our time has come.
Arthas; Frostmourne hungers.
Auriel; There is always hope.
Azmodan; So, it begins.
Blaze; Need a light?
Brightwing; Fight time!
Cassia; The wait is over.
Chen; I bring panda-monium!
Cho; The apocalypse has come!
Chromie; Here we go again!
Deathwing; The Nexus shall tremble.
D.Va; I play to win!
Deckard; So, it begins.
Dehaka; Change is upon us.
Diablo; Tremble before me!
E.T.C.; I bring the mega-death!
Falstad; Let's fly!
Fenix; En Taro Adun!
Gall; Chaos comes!
Garrosh; Lok'tar ogar!
Gazlowe; Anyone order a one-man wreckin' crew?
Genji; Iza, jinjou ni shoubu!
Greymane; Gilneas will rise again!
Gul'dan; I will not be denied!
Hanzo; With every death comes honor.  With honor, redemption.
Illidan; My hatred is unending.
Imperius; I yearn for battle.
Jaina; I'm here to help!
Johanna; The Crusade calls.
Junkrat; It's a perfect day for some mayhem!
Kael'thas; Selama ashal'anore!
Kel'Thuzad; Obey the call!
Kerrigan; Wait 'til they get a load of me!
Kharazim; Ytar, guide my path!
Leoric; All shall suffer!
Li-Ming; This realm needs me.
Li_Li; Ready for adventure!
Lt._Morales; Let's save some lives!
Lucio; Oh!  This is my jam!
Lunara; The hunt is on.
Maiev; None shall flee my grasp!
Mal'Ganis; I must feed.
Malfurion; Elune, grant us strength!
Malthael; Death is beyond your reach.
Medivh; Let the games begin.
Mei; Our world is worth fighting for.
Mephisto; *(Hisses)*
Muradin; Ready for action!
Murky; Mrrgll
Nazeebo; I hear the call.
Nova; Locked and loaded.
Orphea; For the Nexus!
Probius; *(Probe sounds)*
Qhira; I'm in.
Ragnaros; By fire, be purged!
Raynor; Anytime you're ready.
Rehgar; I will fight to my last breath!
Rexxar; I hear the call of the wild.
Samuro; I hear and obey.
Sgt._Hammer; Ready to roll out!
Sonya; My blades are yours.
Stitches; Stitches want to play!
Stukov; Victory above all!
Sylvanas; Victory for the Forsaken!
Tassadar; From order comes justice.
The_Butcher; Fresh meat!
The_Lost_Vikings; Where will we end up this time?
Thrall; Glory to the Horde.
Tracer; Cheers, love!  The cavalry's here!
Tychus; Hell, it's about damn time!
Tyrael; Reckoning is at hand.
Tyrande; I heed the voice of Elune.
Uther; The Light abandons no man.
Valeera; Here we go.
Valla; I stand ready.
Varian; We will forge a great destiny!
Whitemane; Let the inquisition commence!
Xul; It is time.
Yrel; Do your worst!
Zagara; The Swarm endures.
Zarya; Zarya, ready for duty.
Zeratul; I serve.
Zul'jin; Make way for the bad guy!
